ID,1left,2left,3left,1right,2right,3right,4right,5right,READING
AL.0008,4.699107266255,3.547305372649,4.685928369638,4.847490478099,4.097172198545,4.379420348943,3.664003592211,3.164599624178,
AL.0020,2.754895803681,-0.929640497381,0.02129675777,3.333387986417,1.891418274496,1.238451621069,0.53010590437,0.263596761673,
AL.0050,53.822082218311,52.736741951867,47.36476004001,55.694398264573,51.96169329807,47.593081891209,46.172594953614,53.124864140884,
AL.0057,37.785456626949,6.764237344926,11.99377785315,37.858539581818,5.982928377304,12.687388958073,17.042435967985,14.307348246542,
AL.0074,53.182443417131,54.762160902029,53.922105577514,53.728297495511,54.140044202296,56.061295494238,57.445313167819,56.809461807934,
AL.0075,49.406643750473,51.017990441435,50.920751176438,50.788469544717,51.028203498749,50.958668855217,51.019964988392,51.004921564182,
AL.0076,37.965474661924,38.154753747595,37.992624133804,37.84864808308,38.156615588347,38.12540224732,38.099550110517,38.098664619982,
FT1_005,5.604079372151,6.947144856498,6.504980768053,5.627458075958,3.036149455193,7.459778019747,5.157690726413,5.5741683446,9.000000000000
FT1_024,9.404784548657,10.236200470118,9.911223999546,9.100189529501,8.781328495992,8.502524326014,8.25956922914,8.049703326538,3.000000000000
FT1_035,14.136908484765,14.378735557288,14.056303641676,13.677955145883,14.38153184602,14.536570884614,14.777229619728,14.676284530694,1.166666666700
FT1_037,19.81869722941,22.290582311549,19.40589324147,20.557396377433,22.605676331557,19.317443441782,18.650607917021,18.37803265896,
FT1_041,30.471487148801,30.494323629071,30.841778304438996,30.244130892261,31.100403969211,30.788679331311,30.472265447059,30.457705032934,0.833333333300
FT1_0446D,14.797714101232,11.49886594545,10.477292185336,14.067775102273,11.264180369706,10.226923694287,11.365046907963,12.1262373907,2.666666666700
FT1_04476,1.068449269191,-0.813700239312,8.98688061757,1.774201515882,-1.295803963432,8.332254790705,25.494973741731,30.254529244554,4.000000000000
FT1_0447A,11.734899599654,11.097824846358,10.940220863522,11.805407130841,10.965095345476,10.908269677622,11.389913957649,11.36652939821,
FT1_389,33.346941054041,33.299686177495,33.297076184733,33.347044571932,33.29967456528,33.297104410895,33.296961298007,33.296953317833,12.000000000000
FT1_395,31.736069443671,31.79767524255,28.22015042053,32.369115106097,31.38470929143,28.688424395145,30.504598733993,24.293137134555,10.166666666700
FT1_398,27.267739931028,28.987247250439,25.182961540474,27.088550916203,28.775478831315,25.080235815699,27.667303423805,25.792800810679,8.666666666700
FT1_399,9.593302839486,12.992301963056,12.498070659497,9.583954080033,12.316732605128,11.708654930187,10.713795210568,16.838374851855,
FT1_403,31.703580926618,31.757039057528,31.214947341077,31.848598248308,31.905625110801,31.699890867785,31.872540859208,31.902014536377,12.666666666700
FT1_5067F048C2E2_Test,-2.060323570149,3.75339183819,15.484663762258,2.453706349575,12.828220594354,19.34829788351,14.967832878258,15.329781180886,8.333333333300
FT1_966,23.649447714506,31.636287527119,32.016969367743,23.098635113618,31.636449603362,36.172537014145,32.356373444041,32.06752274884,4.000000000000
FT1_CCH01,41.21725901135,41.227980521984,41.233722462668,41.249645950921,41.249372666144,41.249250469324,41.249278970031,41.249397429501,
FT1_Dounan_Indoor,14.658288686195,13.919555832181,15.758851389521999,14.750121112741,13.994107303396,15.736189177068,15.047944473281,16.897215609504,9.000000000000
FT1_Dounan_Outdoor,27.652391167582,30.087494687437,30.193598343951,28.063503702414,28.886334952385,30.153889568513,31.228316616505,31.411020266206,41.166666666700
FT1_RTL8710_E3,38.466512195051,38.659448399525,38.557748010433,38.70439276953,38.841290338401,38.77556020461,38.692196377685,38.633020756615,9.000000000000
FT1_censer,32.435564018458,30.253657207059,26.427796873363,31.73744018252,29.660812471095,24.626825669172,21.278680103607,21.628360303811,12.666666666700
FT3_009_1,3.339270074555,1.08377929663,0.477438953031,2.719791084106,0.474203787917,-1.177391361117,-2.049405398994,-3.027943772227,4.166666666700
FT3_033,10.329150519923,10.695852673036,10.250713838276,10.165408271141,10.85146215286,10.900306026463,8.046684636472,9.029403665843,4.500000000000
FT3_058,17.956826697353,22.686687870226,24.022034071095,20.284661791019,20.349920328806,25.161484224899,14.105084265404,9.274025557401,11.166666666700
FT3_061_8,8.547440568969,10.786690474961,7.751842628201,7.582551716929,9.265293827127,9.193413587749,10.156157173229,17.702864979019,4.000000000000
FT3_061_E,25.331954142086,28.674270945545,15.868727929459999,25.925314563834,24.895699768561,14.903493696195,21.8976442533,20.636568549253,7.333333333300
FT3_061_F,26.975581128372,23.111293845103,19.73239377381,27.301884302303,25.305677253806,18.745866826935,13.520148093065,8.255789396284,10.333333333300
FT3_061_G,26.279912773871,24.83654963701,27.841332434482002,28.003678870262,24.591809491082,25.150096641582,26.691103586144,20.407162879705,8.666666666700
FT3_061_H,36.235540452017,40.395481282601,43.876348035537,36.005071901672,40.323818158123,43.807714854554,45.281659012196,44.973638306268,8.500000000000
FT3_092_2,19.292609685494,7.686369918924,13.760275839944,13.944963817929,6.311158810816,9.437405229163,5.649119066175,8.832450732007,4.166666666700
FT3_141_2,36.398643591241,36.75064917882,37.835508942465,36.131179669262,35.188184211688,34.952804720063,35.361353845962,35.522756824961,23.000000000000
FT_LIVE8C3C2467_G5,3.007512635747,3.842111244414,6.249438713127,3.028268651289,3.839213648433,7.328673881442,9.97921698541,12.276065153272,2.500000000000
FT_LIVE8C3C2467_G7,2.219226270549,0.279132961224,3.04206795982,2.377149569509,2.647285637272,3.47025428852,4.261874301317,5.070492751614,0.666666666700
FT_LIVE8C3C2757,48.244631919848,49.038107121951,53.71836750078201,48.385210612601,49.631606429219,50.984591478416,53.143651966164,56.386604638441,47.000000000000
FT_LIVE8CE7A85C,11.236275033463,53.798374056684,50.750025476188,11.993143341618,53.424474059084,51.169593203386,39.945910199224,32.216520892133,52.000000000000
FT_LIVE8CE7A861,51.747103243884,51.151811400354,51.187337963851,51.401195596436,51.046534038818,51.316842807451,51.173565019707,51.239364904591,63.333333333300
FT_LIVE8CE7A866,30.825135979149,30.664126317561,31.817527417949997,30.673808825903,30.917383326634,31.737890064399,31.307238650583,30.615419223612,44.833333333300
FT_LIVE8CE7A86D,7.843651085872,7.623591480255,7.613828686953001,7.863807560883,7.628362093287,7.558956793933,7.647769230281,7.777397555415,3.000000000000
FT_LIVE8CE7A89F,30.707243942854,24.599695654213,24.171202822413,27.921112352773,26.885829901584,29.45325477708,29.177180033188,33.940305082636,12.833333333300
FT_LIVE8CE7A9EC_G5N,16.70543541867,16.801017694082,16.590252307393,16.643594573121,16.74796097006,16.655248413685,16.649918260137,16.731116172426,5.333333333300
FT_LIVE8CE7A9EC_G5O,13.674752932208,14.072337665706,14.175762646635002,13.668457785585,13.861172238647,13.951875153473,14.07508408776,14.098419601039,3.833333333300
FT_LIVE8CE7AA11_G3,5.712275058626,9.403621551112,12.579154165694,6.122915936009,8.643592791746,12.473830096832,15.91917955199,19.977700115361,2.666666666700
FT_LIVE8CE7AA11_GA,1.934042224911,3.31462452793,7.645365378050999,1.967318671555,3.484734385116,6.927554077632,10.089405513618,11.673196669777,0E-12
FT_LIVEDDDD482E,42.249463692472,43.327262194804,41.640550701535,43.791752024255,43.82168279094,41.911469174869,40.214145726013,40.537603760069,36.333333333300
LASD_707,29.761427313628,29.473263731333,29.309021054902,29.763824047676,29.471960163604,29.310843033619,29.221901814814,29.172803743098,
LASS.FCU,12.781437883171,15.126080541447,15.402757371092,12.825479519738,13.998158078698,15.591254046952,13.241411715117,10.386068787866,
LASS.PI_025,30.875752439607,31.813943986416,32.310318216867,30.858420470958,31.771967036655,32.316113839671,32.694965012356,32.870772860377,
LASS.SPS_017,28.420570373924,27.877882881357,27.568211306561,28.476232644874,26.925787659824,25.745330149533,24.916862484004,24.396172988056,
MYAIR_01,48.927931666816,48.972960026769,49.160461590817,48.893679589567,48.952996414943,49.456258195686,49.69642834364,49.878031464215,14.000000000000
NTUEF.HQ,45.675371128715,52.183034882553,39.680863297681,46.32003743544,50.480463299616,41.783758877364,36.539742978645,36.685581078342,
NUK_518.1_inside,8.942264014162,9.346883110839,9.61244878636,8.947072675559,9.34617997213,9.615354180203,9.820537035127,9.982876961864,
NUK_H1.207_inside,14.238884977558,12.779988493031,12.665671035028,14.400000187964,13.132203500868,13.670595495382,11.914225137799,11.837467708804,
NUK_RD5F_inside,13.281346136782,13.16179319332,13.380246139976,13.275787421311,13.208126323181,13.392577352349,13.273343442299,13.323299141138,14.333333333300
Quchi,22.268703280137,21.318720370804,22.859084315492,23.011402607617,21.508111533176,22.462602243048,25.601704998125,28.956893799546,0.833333333300
RL.9999,30.417015993905,32.506941563918,32.545540887678,31.214094359955,31.932003155968,33.656196355889,31.628373683765,29.801889457326,
WF_1154583,11.124613806296,11.490521033864,11.558281280435,11.225833301434,11.503196120452,11.641738244512,11.437325110592,11.428931058842,9.166666666700
WF_1154678,28.279254976886,22.500433629331,25.242544133934,30.380472142143,22.876741492899,22.126061237822,25.777553629897,25.655624756037,17.333333333300
WF_1155599,31.174035139436,31.784572691517,32.231589652155,31.520522941778,31.87551720225,32.400772887449,32.780201274642,33.257840854829,8.142857142900
WF_1155988,4.0643661e-05,-0.000140879377,0.000120473205,0.000131244147,0.000130380363,0.000130386048,0.000130386011,0.000130386011,0E-12
WF_1182189,23.999194618906,25.673341703408,32.230059067016,24.220703751098,25.810959753359,30.699018362352,27.639794511515,24.13975571822,7.333333333300
WF_12743501,33.682801754474,28.910277042611,30.072335018287,33.152585593795,29.731721165673,29.215256001594,30.584000513086,29.269554358029,44.333333333300
WF_12781724,33.586977170227,33.896916590885,34.276842359631,33.586990583295,33.896975460099,34.277167357253,34.696094111334,35.13724098329,10.833333333300
WF_1339305,46.802447562769,46.458592493966,46.339080873723,46.802414267106,46.458538148418,46.339040966476,46.295086814258,46.278593463438,13.666666666700
WF_1339744,116.739637377482,126.103408560959,131.101340646082,116.740443838598,126.122750732124,131.733091658596,135.181243607461,137.33593431282,
WF_1340228,7.089463075548,4.770131893706,5.246162868776,6.84231862871,7.50967698651,6.491072481585,3.681867404596,4.012495809213,5.333333333300
WF_1352505,18.12430057091,17.342216815828,19.188081643365,18.054947761141,17.31342111852,19.09159034969,17.251665057184,17.401896297846,5.285714285700
WF_1352515,25.413737736727,27.08390198995,23.072739689843,26.337893216493,26.762146505801,23.517705893042,20.276871597825,23.856095139983,17.000000000000
WF_1352643,7.513562338343,9.472663718384,7.1810896885630005,6.551955735316,10.269936325998,7.472139072854,9.648441963521,10.007994284908,2.833333333300
WF_14087554,24.245319914859,24.116312347686,22.226111039479,25.667586048202,25.083234985541,23.387744568046,24.411175481543,21.659324630139,14.500000000000
WF_15601235,41.247776838469,41.251853026312,41.250207462482,41.249367163813,41.249361604823,41.249384114258,41.249392225639,41.249385784185,
WF_15632304,38.430945775917,35.5207427743,36.105632469185,38.38850957691,36.183808118192,36.655493924654,36.46163727314,36.744821925642,15.833333333300
WF_15707714,41.134723883798,40.918880328065,40.853011218333,41.134683516072,40.918859007137,40.852966640441,40.831762301053,40.824826975793,15.333333333300
WF_15738407,20.071487512374,29.04333151329,24.892615316487,20.740272467308,27.508149431212,23.861668626444,17.557796654299,23.172015297819,15.500000000000
WF_15739067,43.324159350592,43.120532077419,43.047489138567,43.32417044478,43.120561154765,43.047434863346,43.019690431274,43.008952366928,17.000000000000
WF_15766023,37.647568310285,37.421998406311,39.337288361085,37.72382500876,36.941345005423,39.451956382735,36.225878087074,39.29860067958,14.166666666700
WF_15767797,40.37614636915,46.028720417713,46.061787032046,40.157364809666,46.098944666096,46.445912883069,48.36746019489,41.902518448404,16.333333333300
WF_254406,50.214692820773,50.51099758947,51.037719420807,50.214999533679,50.511143905877,51.038290295834,51.673235785787,52.362349472991,15.833333333300
WF_254648,44.512120703539,44.428927455729,44.391675629869,44.306217768493,44.470166895662,44.465651331254,44.46310799812,44.463021298107,15.333333333300
WF_3942926,9.79632259067,10.199679349828,10.844509800108,9.574796173332,8.791437894697,10.268541852294,11.549986534817,12.539444040846,7.000000000000
WF_3968597,14.778013421883,13.170655136424,13.425991099217,14.08266583683,12.710752317289,13.686356580476,14.138858496138,12.73334581255,6.428571428600
WF_3968861,24.969109727048,24.591115654012,22.752762766169,24.533920757463,23.851450194704,22.63285167977,24.194877855304,23.943803301241,27.500000000000
WF_3968873,18.155120333822,15.898010244991,20.61319886211,18.160049371265,16.52673982568,22.192972080375,21.844971763893,21.078460416802,9.000000000000
WF_3969129,25.700504621239,25.56090061628,25.492092837537,25.700524033121,25.560852487746,25.49202117276,25.457213219699,25.43938502369,7.000000000000
WF_3969133,7.030776129688,6.332713088718,6.267044969468,6.158350727202,5.946947220801,5.682478509653,5.952864269971,6.140556800306,4.666666666700
WF_3977799,24.197198166484,24.569543026834,24.85571470191,24.069128792195,24.536075027648,24.959562412561,24.964801959884,24.777205345186,9.000000000000
WF_3978202,4.799923154928,6.435406247046,5.79949832839,6.87299787626,6.181709251799,5.382824983172,5.122525700152,5.467689070971,6.000000000000
WF_3979855,10.118332954271,11.285231444482,12.6053856787,10.951762114218,12.317620585794,12.63556307453,14.454745981484,13.850856473744,9.000000000000
X74DA3895DEBA,37.640874479567,37.044325076648,34.682757004021,37.856710273692,37.332885058198,34.867096018422,35.757067703837,37.706609406351,
X74DA3895E0CC,32.419587382412,32.257104163134,32.204053885383,32.419544520704,32.256846138109,32.20384843205,32.185826748583,32.179611717616,
X74DA38C7D5BC,15.441688549111,6.940685408365,17.26763749934,14.258834225377,-0.286707372662,14.91244550458,19.40316906437,17.107153392816,
X74DA38E2B8B4,11.908977540689,11.449655770271,11.336940264073,11.625571563684,11.323550031803,10.903390552226,11.059070920215,11.370459580402,
YK_160,5.869354534665,1.961550469844,5.017187532661,5.894993463622,3.615635216655,6.216110596666,5.795695837067,9.171971219233,
scan_01,11.162675741481,9.158634469206,8.213473882625,9.964967064412,9.562432573985,7.548234236742,9.807551172059,10.234279418833,6.000000000000
