1left,2left,3left,4left,5left,1right,2right,3right,4right,5right,READING,ID
91.286956785532,70.125838389322,59.277029348518,51.05811310993,35.458427500334,140.558003668036,194.477911725127,251.056131026344,255.799821512643,255.855650758658,89.830000000000,AL-0039
82.885622759498,69.300851998528,63.369727559639,48.779252229351,46.56833928471,151.523745783999,239.023778971819,254.921521853592,254.942240863084,254.942255214329,89.400000000000,AL-0044
54.048061366275,46.323533964125,45.678786102917,,,48.133985588763,47.407697770132,47.112223365248,46.975602513203,46.888465809229,53.170000000000,AL-0056
51.137086108465,49.719987582737,44.805700394929,33.112411579937,34.19023486792,56.127213426307,55.397369562597,54.989971164309,54.771374024726,54.65016392045,51.250000000000,AL-0058
46.634544617579,45.332833390717,43.340021718801,33.210188757614,28.27890092865,46.924114292582,47.169819915182,47.402481618649,47.621102139034,47.825002326767,46.500000000000,AL-0060
49.956082707084,47.528085973165,45.244840284658,35.346343149254,35.216845992712,59.353716621969,60.9043472138,63.540560402506,64.546412907945,56.661155759496,50.000000000000,AL-0065
43.038892143495,43.793379133947,46.362248044344,41.276588413128,30.757326259338,46.73695057652,45.621838909449,44.002090785238,42.687670432579,41.856761547125,44.670000000000,AL-0066
45.337153188153,47.682709281385,48.305850627729,39.858705206286,31.683914300161,49.366691227456,48.712082186416,48.097315574256,47.741398108156,47.613512177039,46.400000000000,AL-0068
46.877909574643,45.61462825858,45.722816042518,39.918573437993,30.273670832631,51.207745783447,50.617267923832,50.161798792925,49.801594121521,49.51131613707,47.200000000000,AL-0076
26.614769836915,26.46729852814,25.611058801007,21.66433215543,17.754210605729,23.422297974641,22.686715273052,25.787864785979,22.86436387658,23.741870026666,25.670000000000,FT1_041
50.918257918906,55.983793990549,36.181085988242,30.044773456426,38.539051811433,47.14025979285,46.915099571575,46.839690949957,46.813918328266,46.804683975475,52.500000000000,FT1_092
50.253591525204,50.00517701291,47.725255121491,37.268442636152,41.31609044257,51.92082910281,50.766232240369,50.153214193561,49.786795245251,49.553607796038,53.000000000000,FT1_389
55.652007359728,56.900126383681,51.721506665432,31.50466919064,47.351476462828,59.768682999431,58.105805086778,56.551764320647,55.681334538037,55.33040836714,57.170000000000,FT1_395
54.073541533965,52.021905391066,44.241753167876,39.773084958136,29.889473471264,56.84773971573,55.379634320199,54.667061579223,54.257905606416,54.0030606665,58.330000000000,FT1_403
45.985682376047,44.03801811376,46.612916306957,48.947974743503,26.404571458839,38.255932074118,37.625025058901,37.704887445602,38.159561651506,38.707236047878,47.000000000000,FT1_RTL8710_E3
,,,30.176712989602,23.244769879757,,,,,,,FT3_001_1
,,,37.262398354903,22.877768007935,,,,,,39.000000000000,FT3_141_2
86.510428086639,52.767618355141,52.654984819974,,,86.626646189926,75.061458936827,64.203934378519,56.841390131285,52.011719293139,86.170000000000,FT_LIVE3895C2D4
28.961304604236,33.996673529886,36.555817628696,29.731719677958,19.185596001303,29.309612402372,29.138879397784,28.986031380968,28.849409839471,28.727468995572,28.830000000000,FT_LIVE8C3C2467_G5
23.205081204423,29.383681969045,30.347439223174,25.730354945488,17.92860157609,25.658518231857,25.179692149609,24.737261410474,24.336400653001,23.980053903116,23.500000000000,FT_LIVE8C3C2467_G7
5.829726293081,15.909029677659,22.563957168546,25.203784881083,28.344271343037,20.280830678344,21.961095085433,21.793103748627,21.622418012114,21.666654913696,1.830000000000,FT_LIVE8C3C2757
57.281444492111,54.748276952549,48.157966258935,54.573138386364,53.868420874649,64.374062576225,62.673350369529,61.919783482122,61.525226020122,61.302633475548,60.330000000000,FT_LIVE8CE7A85C
39.416196002429,37.01056205332,37.00141691312,33.673202892203,33.322064780985,46.78748610947,43.488579368086,41.672752802286,40.626790239797,39.999475797241,40.670000000000,FT_LIVE8CE7A89F
24.953295088924,27.855242991335,27.189193528327,24.254005258098,19.817657036952,31.032718692039,28.926524854941,28.29050584796,28.647893864691,28.669440772066,24.500000000000,FT_LIVE8CE7AA11_G3
22.204866351674,29.454421313496,29.012984532213,22.620849284857,16.212619489431,26.007161691663,25.616949829134,25.259115633621,24.93399594782,24.641161589579,21.830000000000,FT_LIVE8CE7AA11_GA
61.830362145079,44.182316767207,47.228071398103,39.523872572726,32.008936724316,87.408552840063,99.485458393809,119.889617399048,133.196705868273,134.214184178532,69.500000000000,FT_LIVEDDDD482E
61.474691010941,65.038440076456,48.03485172713,39.132795701332,26.763511755842,63.901496591696,63.124285413007,62.176981988635,61.201606647934,60.180980581592,62.800000000000,MYAIR_01
43.729722441654,38.886728050071,38.164814582019,37.504066057588,42.840954146319,44.989677511811,45.875991484879,46.128620648443,45.951712819538,45.576464623263,43.250000000000,NUK_H1-207_inside
33.28522149903,39.104379051994,25.877383354331,23.498514007728,20.498162145341,32.757359273362,32.248638093419,31.694906730567,31.151917371395,30.592004671605,33.500000000000,WF_1154583
43.059750747909,39.234105073412,30.635986156543,30.432163744857,24.325659861476,42.953598128665,41.490251541461,40.340239160005,39.476794079617,38.838049535758,44.830000000000,WF_1182189
57.645296702369,54.335656018168,49.931016440761,53.932976545514,36.476897662783,68.219247527168,69.315172306917,68.14350589075,67.470339681124,69.011542885234,59.670000000000,WF_1339309
53.450325231577,51.27882776492,41.877233480763,37.877048378489,41.605557984349,52.706840222857,52.898814242009,50.420631232378,48.34698693392,47.570705298893,56.000000000000,WF_1352505
72.553277226913,54.48634148126,54.373322159779,60.797150167127,45.063849113404,51.442648594192,55.32635608444,59.409791005108,59.529950874795,58.52493867659,77.830000000000,WF_1352515
63.604652919305,77.354781675962,76.901086947317,60.235681277103,28.751330445241,61.324471214472,56.736634457566,54.615552756977,55.020251708352,54.669200634754,77.000000000000,WF_15766380
54.069194743413,49.589789609481,53.88285871935,42.174960100438,33.393942659605,70.965976835796,68.486177467541,67.136834416621,66.258561324388,65.630330325491,57.170000000000,WF_254406
34.440861908066,37.27351363304,45.991390012518,34.587781222381,25.621001053081,40.717052321689,43.242303131525,44.734434971557,43.728328986843,41.611886537785,42.170000000000,WF_3942926
36.834956679333,46.291054869865,33.351070497627,35.783767645412,33.646289431969,33.493240336313,32.131420417384,31.582497243653,31.468722483708,31.57060260533,41.670000000000,WF_3968474
70.294327950325,68.289673686893,65.915682160547,64.489570071621,57.049194247678,67.974741434734,66.425014016787,65.490106506937,64.81378963063,64.227786722088,73.670000000000,WF_3968861
61.439947863886,67.2489759359,59.477729054445,49.642018730284,41.018275029349,58.626521251284,56.217589021607,54.05044131654,51.993803054048,49.953606154853,64.170000000000,WF_3977799
22.236939410909,21.062925767882,21.033489702279,19.302573227259,17.009210127879,22.297538143961,22.472241157526,22.533290117176,22.452940252758,22.288022079751,21.500000000000,WF_3978155
28.949393317507,29.195548127729,25.702440187939,21.231126573019,18.712799876761,30.054839834494,29.647230121573,29.235811646039,28.678399888651,27.704021555887,28.670000000000,WF_3978202
29.497640184925,28.815861072533,25.798427751659,34.129931024324,24.647366115741,32.190987044443,31.952384571394,31.285001608785,30.542848912014,29.872963037143,29.670000000000,WF_3979855
